Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.176,34.922,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,14680.933333333332,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.666666666664,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.9,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.8,63.75,9.333,5.667,2.167,0.167
2006-12-21,1717.112,144.166,241.04228472222223,5.028194444444445,1765.0,2623.0,10421.0,13809.533333333333,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.3,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,61736.433333333334,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.2,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666668,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.902,243.76736111111111,4.5175,0.0,314.0,6976.0,18189.333333333332,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,63.75,9.333,5.667,2.167,0.167
2006-12-30,2801.738,312.75600000000003,240.53632638888888,8.317083333333333,3148.0,7929.0,12516.0,23102.633333333335,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,51387.6,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333332,28.36,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.9,28.36,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333333,28.36,10.2,0.6,0.0,0.0
